Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Cleaned_Tweet,Tweet_list
Gulingkan Jokowi Bajingan!!,1,1,1,0,0,0,0,0,1,0,0,1,guling jokowi bajing,"['guling', 'jokowi', 'bajing']"
PENGGUNA RT: babi cina... pencuri cina...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,babi cina curi cina evictchina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,"['babi', 'cina', 'curi', 'cina', 'evictchina', 'hypertext', 'transfer', 'protocol', 'over', 'secure', 'socket', 'layer', 't', 'co', '9y4hiwhjp2']"
"Jangan salah sasaran, itu bukan Ahok... agenda utamanya adalah menggulingkan Jokowi.",1,0,1,0,0,0,0,0,1,0,0,1,salah sasar ahok agenda utama guling jokowi,"['salah', 'sasar', 'ahok', 'agenda', 'utama', 'guling', 'jokowi']"
Tiongkok menghancurkan negaranya!! Buang!! Menuju??,1,0,0,1,0,1,0,0,0,0,0,1,tiongkok hancur negara buang tuju,"['tiongkok', 'hancur', 'negara', 'buang', 'tuju']"
PENGGUNA PENGGUNA PENGGUNA PENGGUNA PENGGUNA Bangke.. kalah!!!!',1,1,1,0,0,0,0,0,1,0,0,1,bangkai kalah,"['bangkai', 'kalah']"
USER USER USER USER Unta Yaman ini\n\nSaya akan mendeportasi Anda dalam waktu satu tahun,1,1,1,0,0,0,0,0,1,0,0,1,unta yaman depo asi,"['unta', 'yaman', 'depo', 'asi']"
"USER Pak USER Mahfud MD telah berpaling dari Allah SWT Pemberang, demi bangsa mengajak semua untuk membuang Islam",1,1,0,1,1,0,0,0,0,0,0,1,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,"['mahfud', 'md', 'allah', 'subhanahu', 'wa', 'taala', 'berang', 'bangsa', 'ajak', 'buang', 'islam']"
"APA ARTINYA ? Penduduk asli menyadari & melihat siapa mereka? KECUALI ANDA KOMUNIS/MISIONARIS CINA, abaikan tweet ini, usir orang Tionghoa Indonesia",1,0,0,1,0,1,0,0,0,0,0,1,a inya duduk asli sadar lihat kecuali komunis misionaris cina abai twit usir orang tionghoa indonesia,"['a', 'inya', 'duduk', 'asli', 'sadar', 'lihat', 'kecuali', 'komunis', 'misionaris', 'cina', 'abai', 'twit', 'usir', 'orang', 'tionghoa', 'indonesia']"
Sementara USER menentang dakwah Islam & membubarkan HTI..! Rakyat juga berhak mencopot jokowok pembuat gambar tersebut!!,1,0,1,0,1,0,0,0,0,0,0,1,dakwah islam bubar hati rakyat hak copot jokowi kodok gambar,"['dakwah', 'islam', 'bubar', 'hati', 'rakyat', 'hak', 'copot', 'jokowi', 'kodok', 'gambar']"
Bubarkan HTI &amp; FPI. URL,1,0,0,1,1,0,0,0,0,0,0,1,bubar hati amp front bela islam uniform resource locator,"['bubar', 'hati', 'amp', 'front', 'bela', 'islam', 'uniform', 'resource', 'locator']"
